childid,age,Total_Duration_mins,Average_Duration_mins
2352,5,0.1667,0.03333333
888,3,4.2000,0.03360000
2339,7,0.1333,0.06666667
1388,4,0.9833,0.02892157
2153,7,0.0500,0.05000000
1923,5,0.2333,0.01794872
671,5,0.1167,0.02916667
2573,10,0.1167,0.03888889
3807,5,1.0667,0.02318841
2589,6,0.6167,0.01813725
1806,3,48.9000,0.25468750
2405,2,1.9500,0.04875000
3850,3,0.4167,0.03205128
3286,2,0.2000,0.04000000
3446,2,1.3500,0.04090909
1224,5,0.5167,0.03039216
2292,3,1.4833,0.03531746
191,7,0.5333,0.02318841
2489,3,0.1000,0.05000000
3097,2,0.3500,0.03181818
3328,13,0.0833,0.04166667
2855,6,0.7833,0.03405797
379,5,0.0500,0.05000000
2331,8,0.5500,0.02500000
1756,7,0.3667,0.06111111
891,4,2.1167,0.03256410
3657,3,1.7667,0.03840580
2695,16,0.1333,0.02666667
3881,4,0.6000,0.05454545
1698,4,0.9667,0.02196970
3635,3,0.1667,0.03333333
643,5,0.1000,0.03333333
2976,11,1.2333,0.04111111
584,3,0.1500,0.01666667
1593,5,0.0500,0.05000000
1401,5,0.7167,0.01405229
1716,6,0.5667,0.09444444
2989,16,242.6167,4.18304598
2394,6,0.6000,0.01500000
1344,11,0.7500,0.02586207
3570,6,4.9833,0.02129630
3668,3,0.3000,0.01578947
1195,6,0.1000,0.02500000
3750,3,1.8333,0.03333333
2275,2,0.2500,0.06250000
3248,6,0.1000,0.02500000
2392,6,0.5167,0.02583333
2741,6,0.5333,0.02962963
645,31,1.6833,0.01438746
2630,16,22.0167,0.09531025
288,6,0.0833,0.02083333
1403,4,6.6000,0.06055046
2290,6,0.3000,0.01666667
3260,6,2.1833,0.01445916
3447,1,2.5333,0.03838384
2892,14,2.0333,0.02675439
2974,2,14.2667,0.16784314
1253,12,0.4500,0.11250000
1014,4,0.3167,0.05277778
2076,8,24.1167,0.58821138
3076,16,0.1833,0.01527778
1595,5,0.0500,0.02500000
319,3,0.0333,0.03333333
3906,8,0.3667,0.02037037
1913,6,0.2167,0.02166667
3589,6,3.3167,0.02287356
3357,4,1.2833,0.02037037
629,6,0.2833,0.02575758
2599,10,0.2667,0.01568627
3779,5,0.2333,0.03888889
